id,word,domain,type,tier,language,nsm_prime_ref,nsm_prime_group,position
1019,disinclined,cognition,verb,2,ENU,dont want,MENTAL_PREDICATES,4
1988,distant,spatial,other,2,ENU,far,SPACE,1
1993,distant,spatial,other,2,ENU,far,SPACE,6
1996,distantly,spatial,adverb,2,ENU,far,SPACE,9
435,distinct,reference,determiner,2,ENU,other,DETERMINERS,7
436,diverse,reference,determiner,2,ENU,other,DETERMINERS,8
329,division,relation,noun,2,ENU,part,RELATIONAL_SUBSTANTIVES,8
499,double,quantity,determiner,2,ENU,two,QUANTIFIERS,4
1961,down,spatial,other,2,ENU,below,SPACE,5
1962,downward,spatial,other,2,ENU,below,SPACE,6
498,dual,quantity,determiner,2,ENU,two,QUANTIFIERS,3
504,duo,quantity,determiner,2,ENU,two,QUANTIFIERS,9
1629,duration,temporal,other,2,ENU,when,TIME,9
1808,duration,temporal,other,2,ENU,for some time,TIME,3
1427,dwell,existence,other,2,ENU,be somewhere,LOCATION_EXISTENCE,7
505,dyad,quantity,determiner,2,ENU,two,QUANTIFIERS,10
561,each,quantity,determiner,2,ENU,all,QUANTIFIERS,2
1140,ear,cognition,verb,2,ENU,hear,MENTAL_PREDICATES,5
1686,earlier,temporal,other,2,ENU,before,TIME,2
2050,edge,spatial,other,2,ENU,side,SPACE,2
7,ego,entity,noun,2,ENU,i,SUBSTANTIVES,6
148,element,entity,noun,2,ENU,something,SUBSTANTIVES,9
327,element,relation,noun,2,ENU,part,RELATIONAL_SUBSTANTIVES,6
431,else,reference,determiner,2,ENU,other,DETERMINERS,3
1345,emerge,action,verb,2,ENU,happen,ACTIONS_EVENTS_MOVEMENT,6
1048,emotion,cognition,verb,2,ENU,feel,MENTAL_PREDICATES,1
2087,enclosed,spatial,verb,2,ENU,inside,SPACE,7
1594,end,life,verb,2,ENU,die,LIFE_DEATH,9
756,enormous,property,adjective,2,ENU,big,DESCRIPTORS,4
1726,ensuing,temporal,verb,2,ENU,after,TIME,10
563,entire,quantity,determiner,2,ENU,all,QUANTIFIERS,4
143,entity,entity,noun,2,ENU,something,SUBSTANTIVES,4
1491,entity,existence,other,2,ENU,be something,LOCATION_EXISTENCE,9
1754,eons,temporal,other,2,ENU,a long time,TIME,7
1786,ephemeral,temporal,other,2,ENU,a short time,TIME,10
397,equal,reference,determiner,2,ENU,the same,DETERMINERS,2
398,equivalent,reference,determiner,2,ENU,the same,DETERMINERS,3
2384,equivalent,comparison,other,2,ENU,like,SIMILARITY,7
1489,essence,existence,other,2,ENU,be something,LOCATION_EXISTENCE,7
1348,event,action,verb,2,ENU,happen,ACTIONS_EVENTS_MOVEMENT,9
560,every,quantity,determiner,2,ENU,all,QUANTIFIERS,1
93,everyone,entity,noun,2,ENU,someone,SUBSTANTIVES,6
147,everything,entity,verb,2,ENU,something,SUBSTANTIVES,8
569,everything,quantity,verb,2,ENU,all,QUANTIFIERS,10
713,evil,evaluation,adjective,2,ENU,bad,EVALUATORS,6
2353,exceed,degree,verb,2,ENU,more,INTENSIFIER_AUGMENTOR,10
662,excellent,evaluation,adjective,2,ENU,good,EVALUATORS,4
2318,exceptionally,degree,adverb,2,ENU,very,INTENSIFIER_AUGMENTOR,9
1298,execute,action,verb,2,ENU,do,ACTIONS_EVENTS_MOVEMENT,3
1550,exist,life,verb,2,ENU,live,LIFE_DEATH,3
1425,exist at,existence,other,2,ENU,be somewhere,LOCATION_EXISTENCE,5
1458,existence,existence,other,2,ENU,there is,LOCATION_EXISTENCE,7
1487,existence,existence,other,2,ENU,be something,LOCATION_EXISTENCE,5
1452,exists,existence,other,2,ENU,there is,LOCATION_EXISTENCE,1
1051,experience,cognition,verb,2,ENU,feel,MENTAL_PREDICATES,4
1589,expire,life,verb,2,ENU,die,LIFE_DEATH,4
2245,explanation,logic,conjunction,2,ENU,because,LOGICAL_CONCEPTS,4
1182,express,communication,verb,2,ENU,say,SPEECH,5
1229,expressions,communication,verb,2,ENU,words,SPEECH,4
1457,extant,existence,other,2,ENU,there is,LOCATION_EXISTENCE,6
1756,extended,temporal,verb,2,ENU,a long time,TIME,9
1749,extended period,temporal,other,2,ENU,a long time,TIME,2
2345,extra,degree,adverb,2,ENU,more,INTENSIFIER_AUGMENTOR,2
2310,extremely,degree,adverb,2,ENU,very,INTENSIFIER_AUGMENTOR,1
2058,face,spatial,other,2,ENU,side,SPACE,10
1261,fact,communication,verb,2,ENU,true,SPEECH,2
2217,faculty,logic,conjunction,2,ENU,can,LOGICAL_CONCEPTS,10
912,familiar,cognition,verb,2,ENU,know,MENTAL_PREDICATES,7
1991,faraway,spatial,other,2,ENU,far,SPACE,4
667,favorable,evaluation,adjective,2,ENU,good,EVALUATORS,9
2114,feel,spatial,other,2,ENU,touch,SPACE,2
1054,feeling,cognition,verb,2,ENU,feel,MENTAL_PREDICATES,7
531,few,quantity,determiner,2,ENU,some,QUANTIFIERS,2
245,figure,entity,noun,2,ENU,body,SUBSTANTIVES,7
663,fine,evaluation,adjective,2,ENU,good,EVALUATORS,5
469,first,quantity,determiner,2,ENU,one,QUANTIFIERS,8
8,first-person,entity,noun,2,ENU,i,SUBSTANTIVES,7
2049,flank,spatial,other,2,ENU,side,SPACE,1
1838,flash,temporal,other,2,ENU,moment,TIME,6
1782,fleeting,temporal,verb,2,ENU,a short time,TIME,6
241,flesh,entity,noun,2,ENU,body,SUBSTANTIVES,3
